104             :signin.104.com.tw
amazon          :amazon.com
apple           :apple.com
battle          :tw.battle.net
beanfun         :tw.newlogin.beanfun.com
books           :cart.books.com.tw
bookwalker      :bookwalker.com.tw
cht             :member.cht.com.tw
ctbcbank        :ctbcbank.com
dcard           :id.dcard.tw
decathlon       :login.decathlon.net
devilcase       :devilcase.com.tw
discord         :discord.com
e-payless       :e-payless.com.tw
ea              :signin.ea.com
eyny            :eyny.com
facebook        :facebook.com
gamer           :user.gamer.com.tw
github          :github.com
htcsense        :account.htcvive.com
imgur           :imgur.com
Instagram       :instagram.com
javdb           :javdb.com
jorsindo        :forum.jorsindo.com
kingstone       :kingstone.com.tw
microsoft       :login.live.com
mathworks       :mathworks.com
mega            :mega.nz
memes           :memes.tw
mobile01        :mobile01.com
mvdis           :mvdis.gov.tw
ndltd           :ndltd.ncl.edu.tw
nintendo        :accounts.nintendo.com
passdock        :api.passdock.net
pchome          :ecvip.pchome.com.tw
pixiv           :accounts.pixiv.net
racedepartment  :racedepartment.com
ruten           :member.ruten.com.tw
shopee          :shopee.tw
skl             :online.skl.com.tw
steam           :store.steampowered.com
ygp             :ygp.szcloudone.com
taobao          :login.taobao.com
tcfst           :edu.tcfst.org.tw
jyic            :member.ipoe.cc
twitch          :twitch.tv
twitter         :twitter.com
ubisoft         :connect.ubisoft.com
webike          :webike.tw
xiaomi          :account.xiaomi.com
xvideos         :xvideos.com
